"bookname"	"user_id"	"behavior_timestamp"	"gender"	"age"	"industry"	"edu"	"career"	"highlight"
"小王子"	"755724779"	"1490019912"	"女 "	"18-24 "	"家电 "	"高中及以下 "	"专业技术人员 "	"“在人群里也会孤单的， "
"小王子"	"1628041719"	"1488202276"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"声名大噪 "
"小王子"	"1628041719"	"1488287981"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"荒谬 "
"小王子"	"-1517234261"	"1489740642"	" "	" "	" "	" "	" "	"“在人群里也会孤单的 "
"小王子"	"1645991325"	"1488477925"	"女 "	"25-34 "	"IT通信电子 "	"本科及以上 "	"文职人员 "	"我应该看她的行动，而不是听她的言语！ "
"小王子"	"492718659"	"1490050914"	"男 "	"45-54 "	"医药卫生 "	"本科及以上 "	"生产操作人员 "	"“当你的悲伤平息之后（悲伤总是会平息的），你将会因为认识了我而感到高兴。你将永远是我的朋友。你将会想陪我一起笑。有时候，你会因为这个缘故而打开窗户……你的朋友会吃惊地发现你正对着星空发笑。然后你会说：‘是啊，我看到星星就想笑！ "
"小王子"	"1094920715"	"1489113830"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"重操旧业的安托万又是如鱼得水 "
"小王子"	"1094920715"	"1489204785"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"地球可不是普通的星球哦！这里有一百一十一位国王（当然包括了非洲的国王），七千个地理学家，九十万个做生意的人，七百五十万个爱喝酒的人，三亿一千一百万虚荣的人……也就是说，大约有二十亿个大人。 "
"小王子"	"1380743943"	"1488426198"	"女 "	"18-24 "	"IT通信电子 "	"本科及以上 "	"专业技术人员 "	"星星对不同的人来说有不同的意义。对旅行的人来说，星星是指路的向导。对有些人来说，它们是细微的亮光。 "
"小王子"	"903077027"	"1490371252"	"女 "	"18-24 "	"机械制造 "	"高中及以下 "	"专业技术人员 "	"语言是误解的根源。但你每天都要坐得离我更近一点……” "
"小王子"	"1737861109"	"1488046613"	"女 "	"18-24 "	"住宿旅游 "	"大专 "	"服务人员 "	"爱 "
"小王子"	"1094920715"	"1489204785"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"“我看见的只是个躯壳。 "
"小王子"	"940415721"	"1488218765"	"男 "	"25-34 "	"建筑房地产 "	"高中及以下 "	"专业技术人员 "	"的一 "
"小王子"	"1628041719"	"1488287988"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"虚荣 "
"小王子"	"1094920715"	"1489281117"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"“你明白的。路途太遥远。我 "
"小王子"	"1512207153"	"1489639130"	"女 "	"18-24 "	"医药卫生 "	"大专 "	"专业技术人员 "	"安托万虽然非常不舍得这段恋情，但他的苦苦哀求始终没能打动路易丝的心，于是两人在1923年秋天解除了 "
"小王子"	"1094920715"	"1489460550"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"“看东西只有用心才能看得清楚。重要的东西用眼睛是看不见的。”在这里，“心”代表内在的感受，“重要的东西”意味着生活的意义和价值，“眼睛” "
"小王子"	"1628041719"	"1488202257"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"他们虽然近乎奇迹般毫发无损地降落在沙漠里，身边却没有足够的饮用水和食物。 "
"小王子"	"1628041719"	"1488288220"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"逻辑 "
"小王子"	"1628041719"	"1488288694"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"相提并论 "
"小王子"	"1879462735"	"1490454164"	"男 "	"18-24 "	"住宿旅游 "	"高中及以下 "	"专业技术人员 "	"花。而这里光是一个花园就有五千朵和她一模一样的花！“要是看到这个场面，”他心里想，“她会非常生气的……她又要拼命地咳嗽，假装快死了，免得下不了台。到时我又得假装去照顾她，因为不然的话，为了让我内疚，她真的会让自己死掉……”[图片] "
"小王子"	"-1470907575"	"1493483466"	" "	" "	" "	" "	" "	"只看见许多石头山的峰顶，像铁针那样尖 "
"小王子"	"1069762339"	"1488856577"	"男 "	"18-24 "	" "	"高中及以下 "	" "	"日落 "
"小王子"	"-1517234261"	"1489707344"	" "	" "	" "	" "	" "	"须把它们叠起来才行……” "
"小王子"	"1094920715"	"1489113830"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"埃克苏佩里，碑文是Poète，romancier，aviateur，disparu au cours d'une mission de reconnaissance aérienne,le 31 juillet 1944（诗人、小说家、飞行员，1944年7月31日执行侦察任务时失踪 "
"小王子"	"1094920715"	"1489133480"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"到。假如有天文学家发现这种小星球，他不会给它起名字，而是给它编号 "
"小王子"	"1094920715"	"1489199723"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"“拥有星星能给你带来什么好处呢？”“能让我变得富裕。”“变得富裕能给你带来什么好处呢？”“如果 "
"小王子"	"-1339514885"	"1490284894"	" "	" "	" "	" "	" "	"因为国王最在乎的是他的权威得到尊重。他容忍不了反抗。他是个专制的君主。但他又是个非常善良的人，所以他颁布的命令总是合情合理的。 "
"小王子"	"755724779"	"1490102877"	"女 "	"18-24 "	"家电 "	"高中及以下 "	"专业技术人员 "	"幸亏后来土耳其的独裁者命令其国民改穿欧式服装，违者处以死刑。1920年，那位天文学家穿得非常气派，又在大会上讲述他的发现。这次每个人都接受了他的证据。 "
"小王子"	"1209478813"	"1488876614"	"男 "	"18-24 "	" "	"高中及以下 "	" "	"轰鸣声。 "
"小王子"	"1366403043"	"1488720492"	"男 "	"18-24 "	"纺织服装 "	"高中及以下 "	"文职人员 "	"尔南正是顽固的保皇派。于是在这年的10月，安托万前往巴黎，像当年许多贵族子弟那样入读著名的圣路易高中，为加入海军做准备。但战争很快就结束了，于是在1918年年底通过体检、即将奔赴前线的安托万就这样和第一次世界大战擦肩而过。 "
"小王子"	"1125631177"	"1488667892"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"翱翔 "
"小王子"	"1094920715"	"1489460550"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"。可是无数事实证明，这种想法无论在逻辑上还是在实践中都是错误的 "
"小王子"	"1628041719"	"1488288689"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"返璞归真 "
"小王子"	"1628041719"	"1488202027"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"束手无策 "
"小王子"	"1366403043"	"1488720496"	"男 "	"18-24 "	"纺织服装 "	"高中及以下 "	"文职人员 "	"战争结束后不久，在1919年，安托万按照家族的意思去投考海军学院，但得了个不及格的分数，满分二十分的作文他竟然只考了七分。这当然是故意的，在后来写给他二姐西蒙娜的信里，安托万说他根本就没有准备考试。他的祖父费尔南在这一年去世，这意味着再也不会有人来安排他的人生道路了。失去管束的安托万选择了到巴黎的国家美术学院建筑学系去当旁听生，但学习并不用功，整天在各处餐厅和酒馆过着放浪形骸的生活。 "
"小王子"	"-1493875529"	"1488515145"	" "	" "	" "	" "	" "	" berait l'me endormie（引擎的歌声 "
"小王子"	"492718659"	"1490050061"	"男 "	"45-54 "	"医药卫生 "	"本科及以上 "	"生产操作人员 "	"我会偷偷地看你，你不要说话。语言是误解的根源。但你每天都要坐得离我更近一点……” "
"小王子"	"1094920715"	"1489280486"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"我再次因为感到某些无可挽回的事情即将发生而浑身冰冷 "
"小王子"	"1628041719"	"1488287987"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"荒唐 "
"小王子"	"1628041719"	"1488288245"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"抨击 "
"小王子"	"1628041719"	"1488202219"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"债台高筑 "
"小王子"	"-1910323081"	"1489846256"	" "	" "	" "	" "	" "	"Le soleil nous frlait de sa couleur ple（太阳涂抹我们用苍白的颜色） "
"小王子"	"1628041719"	"1488202276"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"死里逃生 "
"小王子"	"1628041719"	"1488287975"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"历久不衰 "
"小王子"	"1628041719"	"1488288789"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"葬身海底 "
"小王子"	"-1333901063"	"1490318245"	" "	" "	" "	" "	" "	"。这句话虽然简短，却很好地总结了圣埃克苏佩里精彩而传奇的人生。 "
"小王子"	"535914745"	"1489456291"	"女 "	"18-24 "	"建筑房地产 "	"高中及以下 "	"文职人员 "	"戏剧的技巧》（Die Technik des  "
"小王子"	"1094920715"	"1489196937"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"“你知道吗，人在难过的时候就会爱上日落。 "
"小王子"	"1094920715"	"1489459064"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"。但更严重的是，自幼锦衣玉食的安托万在成名之后更是挥金如土，伽利玛出版社支付的版税收入远远 "
"小王子"	"1094920715"	"1489199723"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"但虚荣的人听不见他的话。虚荣的人只听得见赞美 "
"小王子"	"-1339514885"	"1490284894"	" "	" "	" "	" "	" "	"我相信在我的星球上某个地方有只老鼠。夜里我能听见它的动静。你可以审判这只老鼠。你可以偶尔判处它死刑。那它的生命就随你处置啦。不过你每次都要饶他不死。这里只有一只老鼠。” "
"小王子"	"1094920715"	"1489204785"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"“做我的朋友吧，我很孤单，”他说。 "
"小王子"	"-1348060337"	"1489404453"	" "	" "	" "	" "	" "	"他想 "
"小王子"	"-1702774245"	"1488768022"	" "	" "	" "	" "	" "	"看东西只有用心才能看得清楚。重要的东西用眼睛是看不见的 "
"小王子"	"1094920715"	"1489281505"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"作为世家大族的子弟，他责无旁贷地必须到前线参战。安托万本来想追随其叔父罗歇 "
"小王子"	"1214506953"	"1488849268"	"男 "	"18-24 "	" "	"本科及以上 "	" "	"人是我在人世间最好的朋友。我还有个理由：他能理解 "
"小王子"	"1094920715"	"1489115998"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"不会有人为你们去死。当然，寻常的路人会认为我的玫瑰花和你们差不多。但她比你们全部加起来还重要，因为我给她浇过水。因为我给她盖过玻璃罩。因为我为她挡过风。因为我为她消灭过毛毛虫（但留了两三条活口，好让它们变成蝴蝶）。因为我倾听过她的抱怨和吹嘘，甚至有时候也倾听她的沉默。因为她是我的玫瑰。” "
"小王子"	"-1909958129"	"1488726139"	" "	" "	" "	" "	" "	"性杨花 "
"小王子"	"820151007"	"1488886743"	"女 "	"18-24 "	"教育 "	"本科及以上 "	"服务人员 "	"“重要的东西用眼睛是看不见的，” "
"小王子"	"-1411708473"	"1489924606"	" "	" "	" "	" "	" "	"1904年3月14日，方当盛年的让 "
